category,item_definition,item_id,item_kind
sounds,baa baa,item_34,word
sounds,choo choo,item_35,word
sounds,cockadoodledoo,item_36,word
sounds,grrr,item_37,word
sounds,meow,item_38,word
sounds,moo,item_39,word
sounds,ouch,item_40,word
sounds,quack quack,item_41,word
sounds,uh oh,item_42,word
sounds,vroom,item_43,word
sounds,woof woof,item_44,word
sounds,yum yum,item_45,word
animals,animal,item_46,word
animals,bear,item_47,word
animals,bee,item_48,word
animals,bird,item_49,word
animals,bug,item_50,word
animals,bunny,item_51,word
animals,butterfly,item_52,word
animals,cat,item_53,word
animals,chicken (animal),item_54,word
animals,cow,item_55,word
animals,deer,item_56,word
animals,dog,item_57,word
animals,donkey,item_58,word
animals,duck,item_59,word
animals,elephant,item_60,word
animals,fish (animal),item_61,word
animals,frog,item_62,word
animals,giraffe,item_63,word
animals,goose,item_64,word
animals,horse,item_65,word
animals,kitty,item_66,word
animals,lamb,item_67,word
animals,lion,item_68,word
animals,monkey,item_69,word
animals,mouse,item_70,word
animals,owl,item_71,word
animals,penguin,item_72,word
animals,pig,item_73,word
animals,pony,item_74,word
animals,puppy,item_75,word
animals,sheep,item_76,word
animals,squirrel,item_77,word
animals,teddybear,item_78,word
animals,tiger,item_79,word
animals,turkey,item_80,word
animals,turtle,item_81,word
vehicles,airplane,item_82,word
vehicles,bicycle,item_83,word
vehicles,bus,item_84,word
vehicles,car,item_85,word
vehicles,firetruck,item_86,word
vehicles,motorcycle,item_87,word
vehicles,stroller,item_88,word
vehicles,train,item_89,word
vehicles,truck,item_90,word
toys,ball,item_91,word
toys,balloon,item_92,word
toys,block,item_93,word
toys,book,item_94,word
toys,bubbles,item_95,word
toys,doll,item_96,word
toys,pen,item_97,word
toys,toy (object),item_98,word
food_drink,apple,item_99,word
food_drink,banana,item_100,word
food_drink,bread,item_101,word
food_drink,butter,item_102,word
food_drink,cake,item_103,word
food_drink,candy,item_104,word
food_drink,carrots,item_105,word
food_drink,cereal,item_106,word
food_drink,cheerios,item_107,word
food_drink,cheese,item_108,word
food_drink,chicken (food),item_109,word
food_drink,coffee,item_110,word
food_drink,cookie,item_111,word
food_drink,cracker,item_112,word
food_drink,drink (beverage),item_113,word
food_drink,egg,item_114,word
food_drink,fish (food),item_115,word
food_drink,food,item_116,word
food_drink,ice cream,item_117,word
food_drink,juice,item_118,word
food_drink,meat,item_119,word
food_drink,milk,item_120,word
food_drink,noodles,item_121,word
food_drink,orange (food),item_122,word
food_drink,peas,item_123,word
food_drink,pizza,item_124,word
food_drink,raisin,item_125,word
food_drink,spaghetti,item_126,word
food_drink,toast,item_127,word
food_drink,water (beverage),item_128,word
clothing,beads,item_129,word
clothing,bib,item_130,word
clothing,boots,item_131,word
clothing,button,item_132,word
clothing,coat,item_133,word
clothing,diaper,item_134,word
clothing,dress (object),item_135,word
clothing,hat,item_136,word
clothing,jacket,item_137,word
clothing,jeans,item_138,word
clothing,necklace,item_139,word
clothing,pajamas,item_140,word
clothing,pants,item_141,word
clothing,shirt,item_142,word
clothing,shoe,item_143,word
clothing,shorts,item_144,word
clothing,sock,item_145,word
clothing,sweater,item_146,word
clothing,zipper,item_147,word
body_parts,arm,item_148,word
body_parts,belly button,item_149,word
body_parts,cheek,item_150,word
body_parts,ear,item_151,word
body_parts,eye,item_152,word
body_parts,face,item_153,word
body_parts,foot,item_154,word
body_parts,finger,item_155,word
body_parts,hair,item_156,word
body_parts,hand,item_157,word
body_parts,head,item_158,word
body_parts,knee,item_159,word
body_parts,leg,item_160,word
body_parts,mouth,item_161,word
body_parts,nose,item_162,word
body_parts,owie/boo boo,item_163,word
body_parts,tooth,item_164,word
body_parts,toe,item_165,word
body_parts,tongue,item_166,word
body_parts,tummy,item_167,word
furniture_rooms,bathroom,item_168,word
furniture_rooms,bathtub,item_169,word
furniture_rooms,bed,item_170,word
furniture_rooms,bedroom,item_171,word
furniture_rooms,chair,item_172,word
furniture_rooms,couch,item_173,word
furniture_rooms,crib,item_174,word
furniture_rooms,door,item_175,word
furniture_rooms,drawer,item_176,word
furniture_rooms,garage,item_177,word
furniture_rooms,high chair,item_178,word
furniture_rooms,kitchen,item_179,word
furniture_rooms,living room,item_180,word
